adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
MTR,MAGEA8,UBL3,GUCA1C,PF4V1,RPL35,CD207,PTK7,GTPBP4,DOK4,SLPI,,C4orf33,,GCG,PERP,KIF5A,ADAM21,,SYT11,SLC51A,,FPGS,NPHP3,,PANK3,,SEMA5A,HTRA2,USP45,FGFBP1,SLC31A1,TANC1,SNRPN,RPL35,,PPHLN1,GOLGA6D,THRSP,,GALM,CPLX2,LIN28A,,FGFR1OP2,FCRLA,INPP1,CDHR3,GOLPH3,ADGRG6,HTRA2,LMOD3,TAL1,,SMAD5,,ENKUR,RPL5,BATF,DYDC2
SIPA1L2,UGT2B4,MTERF4,USP8,NFKB1,DERL1,ATP6V1B1,CUL9,NEURL1,PIWIL1,TTPAL,,FRMD4A,,GCA,ARFGEF3,MAGEA8,WDR89,,ACY3,S100P,,BAAT,CD86,,MSX2,,C7,LOXL3,PLP1,MGARP,TLR4,SLC30A3,PSMG2,CCN3,,LPIN1,PCSK6,ATP6V1G3,,CHAC2,FAM50B,BRME1,,COL12A1,EMILIN2,FLI1,VGF,FAM172A,CCR6,LOXL3,SLC22A15,ELAVL4,,ERGIC1,,GPR158,ODF2L,DCK,KRAS
ZP4,GPR61,XPNPEP2,GLCE,AREG,CCN3,PLEKHA3,DNPH1,SH3PXD2A,GPR18,PREX1,,PTPRO,,MOGS,SLC16A10,PSD3,ESR2,,ALDH3B2,ABLIM2,,GABBR2,NIT2,,TEK,,HMGCS1,DOK1,SERPINA7,ARRB1,ZNF189,GTF3C2,EIF2AK4,IL33,,LDHA,CELF6,C4orf33,,REG3G,TBC1D7,CCT6B,,BTN3A3,IMMT,KCNJ1,PODXL,SLC27A6,SLC22A2,DOK1,IGFN1,SLC1A7,,PDGFRB,,RAD9B,TRMT13,CFAP161,CA1
KMO,BATF,SASH3,CILP,MANBA,CCL21,PARD3B,SENP6,PITRM1,TMTC4,SLC12A5,,QDPR,,TTC31,HECA,CFAP70,PTGR2,,MMACHC,CAMP,,HEMGN,FAM162A,,EQTN,,NME5,GALNT3,RAB9B,SLCO2B1,ALDOB,ITGB6,MYO5C,RNF38,,ANO3,CYP1A2,FRMD4A,,ANKRD53,SLC17A4,RAF1,,TDP2,SCLY,ACSL1,MKLN1,TARS1,PHF1,GALNT3,PROK2,CZIB,,CDX1,,MAT1A,LRRC39,ART3,SWAP70
ACADM,DCK,PAEP,PARP16,MAPK10,DMRT1,FARSB,IMPG1,SORCS1,SLC10A2,SEMG2,,ITIH2,,PCGF1,ADGRG6,UGT2B4,AK7,,MUTYH,ZNF589,,ENPP2,KPNA1,,INSL6,,BRD8,TACR1,NRK,ANKRD42,FPGS,ASB3,CGNL1,CCL21,,IL6ST,RHCG,PTPRO,,NAT8,H2BC1,SLC6A11,,FRK,PTPRE,TMEM132D,CCDC136,AGXT2,PACRG,TACR1,TEX55,FAM151A,,BNIP1,,TEX30,SLC66A2,SLC28A1,LYVE1
SLAMF1,CFAP161,MRPS2,HCN4,NDUFC1,DNAJB5,ALMS1,PRPF4B,XPNPEP1,ABCC4,TOX2,,INPP1,,GRB14,PHACTR2,GPR61,FAM181A,,CTNNBL1,HSPA4L,,CCN3,PCCB,,MLANA,,GZMK,CCDC88A,FAM199X,IL18BP,BAAT,PPM1G,TMOD2,DMRT1,,FST,RLBP1,QDPR,,TEX261,RNF44,FCRLA,,DSE,CLUH,FAM168B,IRF5,SLC12A7,C6orf118,CCDC88A,LMOD1,BSND,,STC2,,AKAP6,WIPF3,CXCL13,AMPD3
CD48,ART3,LAX1,SEMA7A,TBC1D9,SPAG8,PRRX1,TTK,SHOC2,SOX21,GDAP1L1,,FLI1,,CLIP4,CCR6,MMP16,FBLN5,,SERINC3,CAMKV,,RNF38,ARMC8,,CD274,,CDH9,ACADL,ESX1,RAB30,GABBR2,PDE1A,ELL3,SPAG8,,CRB1,ST8SIA2,ITIH2,,DQX1,DOK3,EMILIN2,,RSPH4A,RPA1,POU4F1,FEZF1,IL4,PDE10A,ACADL,PDCL2,SLC45A1,,HRH2,,KCTD14,NPY,N6AMT1,HSD17B4
PADI2,SLC28A1,PLG,HERC3,INPP4B,CD72,DHCR24,LAMA4,TFAM,TM9SF2,GTSF1L,,KCNJ1,,RTN4,SLC22A2,BATF,WARS1,,DMGDH,GRM2,,TLN1,RBP2,,GRIA2,,APBB3,EVA1A,TNFAIP6,PI15,HEMGN,REEP6,CCDC32,CD72,,CFHR5,CRTC3,INPP1,,THNSL2,PPP1R18,ARFIP2,,PAK1IP1,LANCL2,GRID2,OPN1SW,RAD50,MDFI,EVA1A,TMEM169,CTRC,,DBN1,,THRSP,MRM2,NAA11,TEX15
MFAP2,CXCL13,KIAA1191,HERC5,GAB1,TMEM8B,DNAJC16,TENT5A,CCDC6,UPF3B,ZNFX1,,ACSL1,,HTRA2,CUTA,DCK,NIPA2,,BHMT2,NDST3,,CCL21,RBP1,,CCDC170,,SPARC,MRPL19,PLA2G12A,SULF1,ARPC5L,GCG,DLL4,FOXP4,,ERN2,SH3GL3,RNF144A,,RALB,MLIP,SCLY,,SMIM8,DDC,RIT2,MYO1B,IL5,CCND3,MRPL19,IGFBP7,RBP7,,EHHADH,,ME3,SMU1,CLDN17,DUSP26
RPF1,N6AMT1,LY9,ZGRF1,CPE,GRHPR,TNR,FBRSL1,CUL2,RNF113A,CSE1L,,BEND6,,LOXL3,PACRG,CFAP161,SLC12A6,,ZBED3,SPINK1,,SIT1,SLC25A36,,TASL,,CERT1,EFEMP1,B9D2,NXPE4,CCN3,IFIH1,KNSTRN,ZSCAN9,,NARS1,PMM2,FLI1,,RABL2A,LGSN,EEFSEC,,RNGTT,JCHAIN,PSTPIP2,GAD1,ST8SIA4,FAM120B,LANCL1,TRIM46,FBLIM1,,CNTN3,,ATP6V1G3,RECK,TSPAN7,ERG28
KDM5B,NAA11,HS3ST2,RASGEF1B,RPL34,RPS6,MORN1,LY86,UBE2S,SEPTIN6,CDH26,,TMEM132D,,DOK1,QKI,ART3,SORD,,ANGPTL3,HTR4,,DMRT1,GRK7,,MAGEB4,,HAND1,REG1A,C4BPA,BUD13,IL33,GCA,CLN6,TFAP2A,,FBH1,SLC5A2,KCNJ1,,LIPT1,FGD2,SEC61G,,MAN1A1,ANKRD17,PTH,HAT1,NUP155,GUCA1B,EFEMP1,TMEM79,PDPN,,SELENOK,,C4orf33,SPINK4,ANKRD9,ADAM20
UAP1,BACH1,RBBP6,BLTP1,ANXA10,CMTR1,SCP2,MEP1A,RPL28,TMEM255A,SNAI1,,FAM168B,,GALNT3,C6orf118,SLC28A1,DUOXA2,,SYT4,ESM1,,SPAG8,RNF7,,CYSTM1,,PCDHB5,FANCL,C4BPB,TRPC6,PLAA,GRB14,ARPP19,SLC22A7,,IL2RA,ITGAX,ACSL1,,CNGA3,ANO7,LANCL2,,HDDC2,ITGB4,KCNK13,HERC2,FGF1,PRPH2,REG1A,CRYBA2,LRRC38,,KNG1,,SLC25A31,ACO1,HKDC1,LOXL2
CTBS,CLDN17,PRM2,RAP1GDS1,FRG1,SLC22A7,TPSG1,ERBIN,ZMIZ1,BMP4,RBPJL,,POU4F1,,TACR1,PDE10A,CXCL13,SLC27A2,,FBXO44,GPX8,,CD72,XRN1,,TNN,,PCDHB7,FN1,AGO2,MMP7,CCL21,CLIP4,VPS13C,FRS3,,CCNH,IGSF6,TMEM132D,,NXPH2,TTBK1,DDC,,TPD52L1,H3-3B,HOMER1,SNRPN,C9,PPP2R5D,FANCL,RETNLB,MATN1,,HRG,,PTPRO,PHF24,CD109,PEBP4
SSX2IP,CLDN8,LDB3,FRAS1,CLCN3,TMEM63B,PAPPA2,PCDHB2,DNAJC12,FAM193A,SEMG1,,GRID2,,CCDC88A,MDFI,N6AMT1,FGF7,,NMUR2,ENPP6,,DENND4C,BCHE,,MRPS14,,PDE8B,STAT1,DAW1,MMP27,SIT1,RTN4,CALML4,CAPN11,,DOCK2,ARHGAP17,CFC1B,,GPR17,RARS2,JCHAIN,,HINT3,ZRANB2,BOLL,MYO5C,SEC24A,PTK7,GLS,FCRL4,CAMK2N1,,BCL6,,QDPR,DNAI1,LRFN2,CTIF
RBBP5,TSPAN7,OPN4,CNOT6L,AADAT,TJAP1,RALGPS2,CEP72,PBLD,GRK4,C20orf85,,RIT2,,ACADL,CCND3,MAP3K7CL,HDC,,PDE6A,CMYA5,,PIM1,COL7A1,,CENPL,,CLK4,GLS,INHA,CFAP300,DMRT1,HTRA2,ISLR,TINAG,,RERG,MYLK3,FAM168B,,TMEFF2,SCML4,TRIM47,,NCOA7,KDM6B,SUV39H2,CGNL1,TXNDC15,SRF,PAPOLG,TRAT1,SCNN1D,,HGD,,AKR1C2,CNTFR,PRG3,MRO
KIF17,FUT6,NAA60,SHROOM3,GALNT7,CAPN11,ANGPTL1,SEMA5A,KRT23,TEKT3,TP53TG5,,PSTPIP2,,EVA1A,BYSL,NAA11,GCNT3,,ATP8A2,EGFLAM,,GMPR,USP4,,SEC16B,,PCDHB15,PAPOLG,FAM124B,POU2F3,DNAJB5,LOXL3,LOXL1,HCRTR2,,SLCO1B1,NKD1,POU4F1,,DLX1,MTFR2,CLEC10A,,UST,XAF1,OLAH,TMOD2,RARS1,CUL9,DNAH6,FBLN2,IL23R,,CLDN16,,ITIH2,TRIM24,MS4A1,CD180
CR2,CD109,CCDC18,PPP3CA,DHX15,HCRTR2,CEP104,C7,CRYBA1,MYH2,PCK1,,PTH,,MRPL19,FAM120B,BACH1,COMMD4,,ALOX5AP,TMEM174,,TFAP2A,GNAT1,,ACAT2,,HAVCR1,DNAH6,SLC12A4,RDX,SPAG8,DOK1,BBOX1,KIAA0319,,MYBPC3,CHST4,GRID2,,FAM171B,SLC2A12,XAF1,,ULBP1,DLG4,ZSCAN1,ELL3,WWC1,DNPH1,ELMOD3,GLB1L,C1orf87,,NIT2,,FLI1,CALD1,B3GNT7,IRAK2
CD46,LRFN2,RPAP2,MTTP,SOD3,KIAA0319,FAM20B,HMGCS1,GIT1,MSTO1,ZBP1,,KCNK13,,LANCL1,GUCA1B,CLDN17,PSTPIP1,,WASF3,CARTPT,,SLC22A7,NPRL2,,TCP1,,GRM6,ELMOD3,ENKD1,FDX1,CD72,TACR1,KCNC1,IRF4,,DDB2,ZFHX3,RIT2,,HSPD1,PNLDC1,DLG4,,MTRF1L,RIDA,CCDC50,CCDC32,SMAD5,TMEM30A,USP34,FCRL1,USP1,,FAM162A,,KCNJ1,AKR1D1,SST,CAMK1
P3H1,PRG3,SLC66A2,FBN2,TRIM2,IRF4,LRRC42,DAP,RPL19,BARHL1,CHST8,,HOMER1,,EFEMP1,PRPH2,TSPAN7,TSPAN3,,MYH8,FAM170A,,TMEM63B,BBX,,SNX19,,THG1L,EFHD1,MC3R,FXYD2,GRHPR,CCDC88A,CSRP3,TUBB2A,,USP26,CPNE2,PSTPIP2,,UNC80,ZMYM4,RIDA,,PPARD,MATN2,SPEF2,DLL4,CSNK1A1,GMDS,EFHD1,SGO2,ADGRL4,,KPNA1,,AMN1,SFTPA1,GHRL,VHL
SLC2A1,GLYATL2,NPY,PDE6H,SLC2A9,GCM1,WRAP73,NME5,FBXL20,MBOAT7,IL9R,,BOLL,,REG1A,PPP2R5D,CD109,TPM1,,MYBPH,TERT,,CAPN11,HHLA2,,KCNJ5,,ARSB,CCT4,CTCFL,MMP13,ARHGEF39,ACADL,E2F8,GCM1,,STK26,MAP1LC3B,PTH,,PTH2R,CDCA5,MATN2,,OPRM1,NIP7,SPARCL1,CLN6,PDGFRB,IMPG1,CCT4,SERPINI1,LRRIQ3,,PCCB,,TDO2,PLAU,SEC13,EDEM1
CDC20,MS4A1,MRM2,ERP27,CLNK,BPHL,NPHS2,NNT,RUNDC3A,IL37,NAGK,,SUV39H2,,FANCL,SRF,LRFN2,CYP11A1,,CHIT1,SLC6A18,,TINAG,IQCG,,MSANTD2,,THBS4,GGCX,FAM210B,KNL1,CNPY3,EVA1A,SOX15,TUBB2B,,PIWIL4,MBTPS1,KCNK13,,ANKMY1,IGFBP1,REEP2,,SLC26A8,SNAP25,CAPSL,ARPP19,CDX1,PRPF4B,GGCX,SPTA1,DNAI3,,CEP70,,PABPC3,SRGN,SHCBP1L,CNTN6
B4GALT2,SASS6,RECK,KIF21A,SH3D19,CLPS,ICMT,MRPS27,UBTF,CHCHD5,PAIP2B,,OLAH,,FN1,CUL9,NPTN,GOLGA6D,,DCLK1,GDF9,,HCRTR2,MORC1,,TP53AIP1,,CNOT6,EHBP1,PI3,TUBGCP4,PIM1,MRPL19,AIPL1,CLPS,,MTNR1B,CDH13,HOMER1,,DIS3L2,TRAPPC14,SNAP25,,MAPK14,PCNA,DDX4,CALML4,BNIP1,TTK,EHBP1,MNDA,GBP4,,RBP2,,CCL28,CHST3,NMNAT2,DPH6
ERI3,B3GNT7,SPINK4,YARS2,MFSD10,RNF144B,STXBP3,GZMK,CASC3,PAX8,IL17C,,ZSCAN1,,STAT1,DNPH1,MS4A1,PCSK6,,CCNA1,FABP7,,KIAA0319,C3orf52,,TEX11,,IL12B,OTX1,SLPI,ITPKA,GMPR,LANCL1,CD68,RNF144B,,SPOCD1,ADAD2,BOLL,,RETREG2,NOM1,RHBG,,RHAG,NES,ANKRD22,LOXL1,STC2,LAMA4,OTX1,PYHIN1,VCAM1,,SLC25A36,,GFRA1,CISD1,ATP2B2,EMC7
PRDX1,RPUSD3,PHF24,SINHCAF,GLRB,TAF8,ELAPOR1,CDH9,RGS9,CCDC93,POF1B,,SPEF2,,GLS,TMEM30A,B3GNT7,CELF6,,POSTN,TLX3,,IRF4,FRMD4B,,ARR3,,BTNL8,TXNDC9,SLC12A5,PAK6,SLC22A7,EFEMP1,ATP1B2,FGFBP1,,YARS1,IRF8,SUV39H2,,MARCHF4,ASB10,BCAN,,SRSF3,BCAN,HHEX,SUMF2,HRH2,TENT5A,COQ10B,SLC2A2,CADM3,,GRK7,,TMEM132D,IFT81,LYZL4,TRPM1
TSPAN1,SST,DNAI1,AEBP2,BST1,FAM8A1,OPRD1,APBB3,ASPA,PSD4,IRGC,,SPARCL1,,PAPOLG,SENP6,RPUSD3,CYP1A2,,TPT1,TXLNB,,TUBB2A,ROPN1B,,MASTL,,CCNG1,GNLY,SEMG2,SLC28A2,CAPN11,REG1A,KIF1C,MGARP,,CDCA8,RPL3L,OLAH,,ACKR2,NLGN4X,CRP,,MRPL18,CRP,UTRN,BBOX1,DBN1,FBRSL1,GNLY,RPL22L1,KCNJ9,,RNF7,,CFC1B,HVCN1,SLC6A1,PRPF38B
BLZF1,GHRL,CNTFR,ETFBKMT,HGFAC,FGFBP1,AMPD2,SPARC,SEPTIN4,SLC25A23,LYPD3,,CAPSL,,DNAH6,IMPG1,SST,POLG,,STOML3,DCBLD1,,LRRC1,PLXNA1,,TAF12,,POLR3G,ST3GAL5,GDAP1L1,CYP19A1,TINAG,FANCL,DNAAF11,TTC29,,AGO4,TIGD7,ZSCAN1,,CTDSPL,CLTRN,RAB25,,IL17A,HAPLN2,GRM1,KCNC1,ZNF346,ENPP5,ST3GAL5,FABP1,PEA15,,TFDP2,,POU4F1,DDX54,KLHL40,REG4
CCDC181,SHCBP1L,TRIM24,ETNK1,LRP2BP,MGARP,HDAC1,CERT1,TRIM37,PSPN,PSG8,,DDX4,,PECR,PRPF4B,GHRL,RLBP1,,STARD13,IL31RA,,GCM1,UPK1B,,ENOX1,,CDH6,MOB4,GTSF1L,BCL2L10,HCRTR2,FN1,SLC44A2,MYO7A,,HOOK1,UTP4,SPEF2,,CAND2,SH3KBP1,HAPLN2,,MCM3,APCS,CNTNAP4,CSRP3,EHHADH,LY86,MOB4,ICOS,SLAMF6,,KAT2B,,GRID2,MED13L,NRG1,TSPAN2
SLC19A2,NMNAT2,CALD1,PRICKLE1,UFSP2,ARRB1,CAPZA1,PCDHB5,DHX40,ALKBH7,CEACAM8,,ANKRD22,,ELMOD3,TTK,SHCBP1L,ST8SIA2,,MORC4,PI16,,TUBB2B,CSPG5,,TNFSF11,,GOLPH3,PLCD4,CSE1L,SPTBN5,KIAA0319,STAT1,CDKN2D,ARRB1,,DSG3,CTRL,SPARCL1,,LRIG1,KDM6A,APCS,,RNF8,SYT11,RAB3C,E2F8,CNTN3,MEP1A,PLCD4,NKX6-1,OLFML2B,,BCHE,,RIT2,RNF11,LRP8,TSHB
FAAH,ATP2B2,AKR1D1,KLRG1,KLF3,ANKRD42,S100PBP,PCDHB7,KPNB1,GRIA3,CRISP2,,HHEX,,EFHD1,SLC29A1,NMNAT2,EFL1,,GNG5B,TRA2A,,IER3,KLHL18,,MTRF1,,NPR3,IL1R2,RAB22A,GCOM1,IRF4,GLS,KLK14,ANKRD42,,DSG1,DPEP3,CAPSL,,NFKBIZ,AKAP4,SYT11,,PHACTR1,ACY3,NRSN1,SOX15,SELENOK,ERBIN,IL1R2,SYNPR,SLC9C2,,COL7A1,,PSTPIP2,ITPR2,DHRS4,GSTM5
NSUN4,LYZL4,NUDT10,VAMP1,KLHL5,IL18BP,ASH1L,PDE8B,PNPO,C3,F13A1,,UTRN,,CCT4,BTN2A1,ATP2B2,SH3GL3,,FAM104A,HCN1,,CLPS,NEK11,,PROSER1,,FAM172A,SMYD1,STAU1,BRDT,GCM1,PAPOLG,SIGLEC9,IL18BP,,DSC1,NOB1,GJA1,,COL8A1,GPR174,ACY3,,MDGA1,ALDH3B2,JAKMIP1,AIPL1,TIMMDC1,PCDHB2,SMYD1,ALB,GARIN4,,USP4,,SPC25,NECAB1,ARMC12,GSTM3
TMED5,SLC6A1,SFTPA1,PIANP,FAM149A,RAB30,RHOU,CLK4,CDK5RAP3,GPR108,GRM4,,GRM1,,GGCX,LAMA4,LYZL4,SLC5A2,,PRAM1,MYOZ3,,FGFBP1,PLSCR4,,HSPH1,,SLC27A6,IL1R1,CDH26,GIPC2,BPHL,DNAH6,KLK8,SYTL2,,DTNA,TOB1,DDX4,,MYH15,EBP,ALDH3B2,,CILK1,MMACHC,ZIC1,CD68,CRBN,CEP72,IL1R1,ERICH6,AXDND1,,ACAP2,,PTH,DDX39A,ST3GAL2,HMGCS2
CNN3,KLHL40,PLAU,AMIGO2,NCAPG,PRCP,GON4L,PCDHB15,GALK1,TNFSF14,TRERF1,,CNTNAP4,,EHBP1,TENT5A,SLC6A1,ITGAX,,PDE6B,NEUROD6,,MGARP,HEMK1,,KBTBD7,,AGXT2,IL18R1,RNF114,CLCA2,FLOT1,EFHD1,NGDN,PI15,,DAGLA,SKAP1,ANKRD22,,TAGLN3,AWAT2,MMACHC,,CD83,NASP,CPB1,ATP1B2,KNG1,MAN2A1,WNT6,PRRT3,TDRD5,,GNAT1,,KCNK13,TRIR,KIT,SORT1
PRRC2C,NRG1,SRGN,SCAF11,UGDH,PI15,MAD2L2,HAVCR1,INTS2,RTN2,PACSIN1,,RAB3C,,OTX1,FBRSL1,RBPMS,RUSF1,,HSPBP1,KCNK5,,ARRB1,ACVR2B,,ETF1,,SLC12A7,IL18RAP,RBPJL,DBT,CLPS,CCT4,PARP2,SDCBP,,GGACT,LRRC46,HHEX,,AGTR1,IL2RG,LPIN3,,MDN1,LPIN3,SREK1IP1,KIF1C,HRG,SEMA5A,IL18RAP,CXCL5,SPATA17,,FXR1,,HOMER1,ADGRE5,HYDIN,ADAM30
VAMP4,LRP8,CHST3,COL2A1,DDX25,SULF1,DNAJC6,GRM6,ENO3,SDCBP2,BTN2A2,,NRSN1,,COQ10B,ENPP5,TMEM171,IGSF6,,WDR74,KIF6,,ANKRD42,GORASP1,,TGFBI,,IL4,SLC9A2,SEMG1,KHK,RNF144B,OTX1,FOXA1,NXPE4,,COL4A2,SPACA3,UTRN,,MED12L,GCNA,SERINC3,,RBM24,SERINC3,BANK1,DNAAF11,HGD,C7,SLC9A2,PPBP,PKDCC,,BBX,,BOLL,WDR83,PWWP3B,CD101
FASLG,ARMC12,CISD1,INHBE,CRYAB,NXPE4,LEPR,RNF130,PFN1,TGM3,BTN1A1,,JAKMIP1,,GNLY,LY86,KLHL40,MYLK3,,RTN3,STEAP1,,IL18BP,RRP9,,MYOT,,RAD50,FHL2,C20orf85,DYNC2LI1,FAM8A1,TXNDC9,SNX6,TRPC6,,CLDN10,ARSG,GRM1,,SPATA16,ZNF711,PPP1R3D,,CAP2,DMGDH,TXNDC11,KRI1,CLDN16,GHR,FHL2,PF4,FCAMR,,IFT57,,SUV39H2,GIPC1,ERG,VTCN1
PTBP2,ARSL,ECD,TPH2,HTATIP2,BUD13,KIAA2013,THBS4,RASD1,CD93,XPO5,,ZIC1,,ST3GAL5,MEP1A,NRG1,NKD1,,MYH11,HEY1,,SYTL2,ABCC5,,PLS1,,IL5,CNPPD1,BCAS4,SLC3A1,MGARP,COQ10B,NRL,MMP7,,DZIP1,ABCA8,GGPS1,,LPP,NXF3,DMGDH,,BAG2,BHMT2,DAB2,SLC44A2,NPHP3,HMGCS1,MLPH,CPA3,LRRTM1,,GNB4,,OLAH,ACTRT1,LCA5L,NAPG
TNFSF4,KIT,IFT81,LGR5,CTSC,MMP7,MFN2,BTNL8,RAI1,GZF1,UNC5CL,,CPB1,,PDCL3,ERBIN,NECAP2,CHST4,,CEP20,SLC13A4,,RAB30,AADAC,,TMPO,,ST8SIA4,UXS1,TP53TG5,EMILIN1,TTC29,GNLY,RNASE1,MMP27,,BIVM,CHCT1,CNTNAP4,,RUBCN,IGSF1,BHMT2,,GPR63,ZBED3,ACMSD,CDKN2D,CD86,DAP,CNPPD1,GYG1,MEMO1,,HHLA2,,RPP38,CCDC70,SLC34A2,FKBP11
HSD11B1,HYDIN,HVCN1,LUM,ZBTB16,CFAP300,PRG4,TTC1,NUP88,NAPB,H1-1,,SREK1IP1,,MOB4,PCDHB2,LRP8,KIFC3,,PDZD2,PGAM2,,PRCP,ABHD14A-ACY1,,MTERF2,,SKP1,ABCB6,PCK1,ATRAID,SLCO2B1,SF3B1,CDO1,CFAP300,,ADAMTS8,TAF4B,RAB3C,,EAF2,ARHGAP36,ZBED3,,KHDRBS2,ANGPTL3,CLGN,KLK14,NIT2,NME5,UXS1,RYK,KCNF1,,GBE1,,ZSCAN1,EBPL,ACAN,TMEM106C
UTP25,LCA5L,DDX54,SYCP3,ELP4,POU2F3,MIIP,POLR3G,SLC6A4,NKX2-2,RPS10,,BANK1,,PLCD4,MAN2A1,DHRS4,CDH11,,MYO18B,BRI3,,PI15,ARHGEF26,,NFYB,,NUP155,STK16,MAGEA10,CYP2C9,ANKRD42,ST3GAL5,QRICH2,YAP1,,ACRV1,IMPA2,NRSN1,,SLIT2,FATE1,ANGPTL3,,PTP4A1,SYT4,BMP6,SIGLEC9,FAM162A,BRD8,ABCB6,DNAJC5G,KCNJ3,,MORC1,,CCDC50,NEUROD4,PSMG3,ROCK2
PLPPR5,SLC34A2,MED13L,ASCL1,ZPR1,RDX,SMG7,CDH6,BLMH,DTD1,TCP11,,TXNDC11,,IL1R2,SEMA5A,ARMC12,MAP1LC3B,,SLC2A11,SUN3,,NXPE4,VIPR1,,WASHC3,,FGF1,PPP1R7,FASTKD3,CYP2C8,IL18BP,PDCL3,FOXJ1,TRIM29,,ETS1,C18orf21,JAKMIP1,,AHSG,MAGEA4,SYT4,,HDGFL1,NMUR2,MERTK,KLK8,OGG1,NNT,STK16,SPDYA,SLC16A14,,NCBP2,,CAMK4,PDE1B,AP3S2,RSAD2
SERPINC1,ACAN,RNF11,MMAB,MTCH2,FDX1,NCF2,LMNB1,CPD,CST11,APOBEC2,,DAB2,,SMYD1,C7,KIT,MBTPS1,,C1QTNF6,C7orf57,,MMP7,DNAH1,,APAF1,,C5orf15,PASK,CHST8,LOXL4,SYTL2,PLCD4,ARHGEF6,POU2F3,,APC,ADCYAP1,ZIC1,,FIP1L1,CHRNB3,NMUR2,,BVES,PDE6A,PLA2R1,AJUBA,KPNA1,GZMK,HDLBP,TGM4,TEKT4,,FRMD4B,,SPEF2,HOXC13,FMNL2,LPIN1
SYF2,AP3S2,NECAB1,GLTP,FNBP4,FXYD6,PDC,GOLPH3,GOSR1,STK35,KLHDC3,,ACMSD,,IL1R1,GHR,HYDIN,ADAD2,,FAM83F,SLC30A8,,CFAP300,TNNC1,,CLU,,TRIM23,STK25,IL9R,CUZD1,CREBZF,IL1R2,MAP7D3,FDX1,,PSAT1,MEP1B,ADGRA3,,SLC26A1,DOK2,PDE6A,,COL9A1,ATP8A2,CD96,PARP2,CEP70,CDH9,PPP1R7,CLEC3B,EN1,,ROPN1B,,SPARCL1,LRP1,SPPL3,CMPK2
SLC35A3,FMNL2,DDX39A,TCHP,TECTA,FXYD2,PLA2G4A,NPR3,CCDC47,FLRT3,GNMT,,CLGN,,WNT6,HMGCS1,ERG,IRF8,,GIMAP4,TNFRSF11B,,YAP1,NKTR,,SORBS3,,C9,TPO,PAIP2B,KIF20B,PRCP,SMYD1,SGO1,C11orf1,,ISCA1,GATA6,CPB1,,LYAR,DOCK5,ATP8A2,,WASF1,ALOX5AP,ADGRF4,FOXA1,RBP2,APBB3,STK25,CFAP100,SGCB,,ATP6V1A,,CAPSL,ATG101,DPYSL5,IAH1
RCOR3,SPPL3,TRIR,NUP58,SC5D,MMP13,PRAMEF12,TARS1,MED31,PCSK2,TREM1,,BMP6,,IL18R1,DAP,LCA5L,RPL3L,,ADCK2,PHKG1,,TRIM29,FOXP1,,PTK2B,,SEC24A,PROC,MPHOSPH10,RBP4,PI15,IL1R1,VCY1B,FXYD2,,HAVCR2,RMC1,SREK1IP1,,OCIAD2,STAR,ALOX5AP,,ALDH5A1,WASF3,FRMD1,SNX6,RBP1,TMCO6,TPO,LIPH,HPGDS,,UPK1B,,DDX4,NFE2,PEX10,ANO3
STMN1,DPYSL5,ADGRE5,PDX1,JHY,THBS1,WLS,AGXT2,FTSJ3,BFSP1,MEA1,,MERTK,,IL18RAP,NME5,SLC34A2,RPS2,,NTS,DEFA5,,POU2F3,EIF4G1,,ADRA1A,,TXNDC15,HPCAL1,IL17C,ASCC1,SULF1,WNT6,VCY,MMP13,,MSI1,SLC13A5,BANK1,,SLC10A6,SNTG1,WASF3,,VNN1,MYH8,FAM81B,NRL,SLC25A36,HMGCR,PROC,RHO,PDHA2,,CSPG5,,ANKRD22,KBTBD4,RADIL,IL6ST
MTFR1L,PEX10,WDR83,SUOX,B3GAT1,KNL1,AMPD1,SLC12A7,AKAP10,LAMP5,CDKN1A,,PLA2R1,,SLC9A2,KIF20A,ACAN,UTP4,,C12orf29,DEFA4,,RDX,SPCS1,,PPP3CC,,RARS1,BIRC6,POF1B,PLA2G12B,SDCBP,IL18R1,CDY2B,ALKBH8,,HNF1A,SAT2,DAB2,,SCD5,RGS20,MYH10,,ACOT13,MPRIP,C16orf89,RNASE1,GRK7,FAF2,HPCAL1,RPL39L,ANKRD23,,KLHL18,,HHEX,DBH,LDLRAP1,FST
