adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
HECW1,KLHL13,CD99,ICA1,KRIT1,SNX11,CD99,CFTR,CFTR,AOC1,CD99,,CD38,CA12,ANKIB1,CFTR,ICA1,KLHL13,BFSP1,SNX11,CALCR,KRT84,HS3ST1,CD99,HCRTR1,HS3ST1,,KRIT1,LAP3,CYP26B1,ALS2,KLHL13,BAD,SNX11,KLHL13,,LASP1,KDM1A,TFPI,CLUL1,SARM1,SARM1,CD99,AWAT1,CYP51A1,LASP1,TFPI,CD99,CYP51A1,BAD,CYP51A1,HSPB6,CD38,,KRIT1,,CD38,HS3ST1,SLC22A16,SNX11
LASP1,CD38,HS3ST1,DBNDD1,BAD,TFPI,AOC1,CYP51A1,CYP51A1,LASP1,HS3ST1,,HSPB6,PPP1R12B,CYP51A1,CYP51A1,CD38,CYP26B1,MIP,CYP26B1,SKAP2,KRT82,AOC1,AOC1,MC3R,AOC1,,CD99,CD99,ICA1,TFPI,CYP26B1,HS3ST1,KLHL13,CYP26B1,,KLHL13,CAMKK1,CD38,CHRNA3,CD38,HSPB6,HS3ST1,,KRIT1,SNX11,CD38,HS3ST1,KRIT1,LAP3,KRIT1,SLC4A1,HSPB6,,LAP3,,HSPB6,AOC1,SLC4A1,TMEM176A
SNX11,SLC4A1,KLHL13,ALS2,CD99,CD38,SNX11,KRIT1,KRIT1,SNX11,AOC1,,SLC4A1,RFX3,KRIT1,KRIT1,CAMKK1,CASP10,COL2A1,ICA1,HOXA11,DAPL1,LASP1,SNX11,PCSK2,LASP1,,HS3ST1,HS3ST1,CASP10,SARM1,CASP10,AOC1,CYP26B1,ICA1,,CYP26B1,RECQL,HSPB6,IMPG2,HSPB6,ST7,AOC1,,BAD,TMEM176A,HSPB6,AOC1,BAD,HS3ST1,LAP3,CALCR,ARHGAP33,,CD99,,SLC4A1,LASP1,CALCR,KLHL13
KLHL13,PRSS22,CYP26B1,SARM1,HS3ST1,KDM1A,TMEM176A,LAP3,LAP3,KLHL13,KLHL13,,SKAP2,PGR,BAD,LAP3,HSPB6,CD38,LUM,TFPI,THSD7A,KRT86,CYP26B1,TMEM176A,VGF,TMEM176A,,AOC1,AOC1,SARM1,CD38,CD38,SNX11,CASP10,SARM1,,ALS2,HSPB6,SLC4A1,RPGRIP1,ARHGAP33,SLC4A1,LASP1,,LAP3,CYP26B1,SLC4A1,LASP1,LAP3,AOC1,HS3ST1,SKAP2,SLC4A1,,HS3ST1,,CALCR,TMEM176A,PRSS22,CYP26B1
CYP26B1,SKAP2,ICA1,HSPB6,AOC1,RBM6,KLHL13,CD99,CD99,CYP26B1,CYP26B1,,HOXA11,ICAM1,HS3ST1,CD99,SLC22A16,CAMKK1,LGSN,PLXND1,PRKAR2B,KRT75,CD38,KLHL13,FEZF1,KLHL13,,SNX11,MAD1L1,PLXND1,KDM1A,CAMKK1,KLHL13,CD38,CD38,,CASP10,SLC4A1,CALCR,MYO3A,SLC4A1,CALCR,CYP26B1,,CD99,ICA1,SKAP2,SNX11,HS3ST1,LASP1,AOC1,HOXA11,CALCR,,AOC1,,PRSS22,KLHL13,SKAP2,ALS2
ICA1,MCUB,TFPI,ST7,LASP1,HSPB6,ICA1,AOC1,HS3ST1,ALS2,ICA1,,THSD7A,DPYSL2,AOC1,HS3ST1,ST7,HSPB6,CRYAA,CD38,MPO,KRT74,FKBP4,CYP26B1,CALY,CYP26B1,,TMEM176A,LASP1,HSPB6,RBM6,HSPB6,CYP26B1,KDM1A,HSPB6,,CD38,CALCR,PRSS22,SLC16A8,CALCR,PRSS22,CASP10,,HS3ST1,TFPI,HOXA11,CYP26B1,AOC1,KLHL13,TMEM176A,THSD7A,SKAP2,,MAD1L1,,SKAP2,CYP26B1,HOXA11,CASP10
DBNDD1,HOXA11,NDUFAF7,SLC4A1,SNX11,CDC27,DBNDD1,SNX11,AOC1,CASP10,TFPI,,REXO5,CRISP3,LASP1,AOC1,SLC4A1,SLC4A1,CRYGC,KDM1A,PON1,KRT72,CDC27,ICA1,HDC,ICA1,,CYP26B1,KLHL13,SLC22A16,CAMKK1,ST7,ICA1,RECQL,SLC4A1,,KDM1A,PRSS22,SKAP2,PLCB4,PRSS22,SKAP2,CD38,,AOC1,CD38,THSD7A,CFLAR,LASP1,CYP26B1,KLHL13,MPO,HOXA11,,LASP1,,MCUB,ICA1,THSD7A,SARM1
ALS2,THSD7A,SARM1,CALCR,KLHL13,SLC4A1,ALS2,TMEM176A,HECW1,SARM1,SARM1,,PRKAR2B,IL2RB,SNX11,LASP1,CALCR,CALCR,CRYBA2,RBM6,ABCB4,KRT83,SLC4A1,DBNDD1,CNGA3,CASP10,,ICA1,CYP26B1,ST7,HSPB6,SLC4A1,DBNDD1,HSPB6,CALCR,,CAMKK1,SKAP2,HOXA11,SLC32A1,SKAP2,MCUB,FKBP4,,MAD1L1,CAMKK1,REXO5,SARM1,TMEM176A,ICA1,CYP26B1,PON1,THSD7A,,SNX11,,HOXA11,CASP10,REXO5,CD38
CASP10,ACSM3,CD38,PRSS22,CYP26B1,CALCR,CASP10,KLHL13,LASP1,PLXND1,CD38,,MPO,PLLP,KLHL13,SNX11,PRSS22,PRSS22,CRYGA,CAMKK1,KMT2E,KRT27,CALCR,ALS2,ARHGAP36,AK2,,ALS2,ICA1,SLC4A1,CDC27,CALCR,CASP10,SLC22A16,PRSS22,,HSPB6,THSD7A,THSD7A,CACNA1F,MCUB,HOXA11,SLC4A1,,LASP1,HSPB6,PRKAR2B,AK2,KLHL13,DBNDD1,ICA1,ABCB4,MPO,,KLHL13,,THSD7A,PLXND1,MSL3,HSPB6
TFPI,REXO5,KDM1A,HOXA11,ICA1,PRSS22,AK2,CYP26B1,SNX11,CD38,FKBP4,,PON1,DMPK,CYP26B1,KLHL13,SKAP2,SKAP2,BFSP2,HSPB6,RHBDD2,KRT28,PRSS22,CASP10,GNRH1,CD38,,CASP10,DBNDD1,CALCR,SLC4A1,PRSS22,SARM1,ST7,SKAP2,,SLC22A16,REXO5,PRKAR2B,RS1,HOXA11,THSD7A,CALCR,,TMEM176A,CDC27,MPO,CD38,CYP26B1,CASP10,TFPI,KMT2E,PON1,,CYP26B1,,REXO5,AK2,MPO,ST7
