adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
ATOSB,TMEM176A,MAD1L1,CASP10,LAP3,TMEM176A,,M6PR,HECW1,ANKIB1,KLHL13,,ANKIB1,,SNX11,DMPK,TMEM176A,KLHL13,HECW1,AK2,,ALS2,DBNDD1,,DBNDD1,MAD1L1,FEZF1,HECW1,,M6PR,HECW1,LASP1,SNX11,ALS2,ICA1,HECW1,MAD1L1,COL22A1,HECW1,HECW1,HECW1,MLANA,KLHL13,MAD1L1,AK2,,CD99,CD99,DBNDD1,RPAP3,CFLAR,NDUFAF7,ALS2,TMEM176A,CASP10,ANKIB1,LIMD2,CD99,LAP3,SNX11,DBNDD1
ZNF195,CYP26B1,LASP1,TFPI,HECW1,DBNDD1,,CYP26B1,MAD1L1,BAD,CYP26B1,,BAD,,ALS2,CPVL,KLHL13,DBNDD1,SNX11,KDM1A,,NDUFAF7,ALS2,,ALS2,TMEM176A,HDC,MAD1L1,,KLHL13,MAD1L1,SNX11,TMEM176A,CFLAR,TFPI,MAD1L1,SNX11,TIGD4,LASP1,MAD1L1,MAD1L1,ARR3,CFLAR,SNX11,VPS50,,HECW1,MAD1L1,ALS2,CREBBP,NDUFAF7,PLXND1,CASP10,KLHL13,CFLAR,BAD,KIF2C,HECW1,HECW1,TMEM176A,CFLAR
LAMP2,ALS2,SNX11,NDUFAF7,MAD1L1,ALS2,,DBNDD1,SNX11,LAP3,DBNDD1,,LAP3,,CASP10,SFRP4,ICA1,CFLAR,TMEM176A,VPS50,,PLXND1,NDUFAF7,,CFLAR,M6PR,CNGA3,SNX11,,CYP26B1,LASP1,TMEM176A,M6PR,NDUFAF7,RBM5,SNX11,ALS2,PROP1,SNX11,SNX11,LASP1,GNG13,NDUFAF7,TMEM176A,ARHGAP33,,MAD1L1,LASP1,CASP10,ZNF195,PLXND1,RBM6,CFLAR,CYP26B1,NDUFAF7,LAP3,FRMD1,MAD1L1,MAD1L1,KLHL13,PLXND1
REX1BD,CASP10,TMEM176A,AK2,LASP1,TFPI,,CFLAR,M6PR,CD99,CFLAR,,CD99,,NDUFAF7,ACTA2,DBNDD1,TFPI,DBNDD1,ARHGAP33,,AK2,SARM1,,TFPI,CFLAR,ARHGAP36,M6PR,,DBNDD1,SNX11,M6PR,KLHL13,AK2,SARM1,M6PR,CASP10,CSRNP3,TMEM176A,KLHL13,M6PR,KCNC1,PLXND1,KLHL13,PDK4,,LASP1,M6PR,TFPI,ITGA3,AK2,RECQL,NDUFAF7,DBNDD1,AK2,CD99,TRAT1,TMEM176A,LASP1,ICA1,AK2
TMEM98,TFPI,DBNDD1,CD38,SNX11,NDUFAF7,,TFPI,CYP26B1,HS3ST1,NDUFAF7,,HECW1,,KDM1A,CD69,ALS2,NDUFAF7,CFLAR,NDUFAB1,,KDM1A,PLXND1,,NDUFAF7,TFPI,GNRH1,KLHL13,,ALS2,TMEM176A,CYP26B1,DBNDD1,RECQL,PLXND1,CYP26B1,TFPI,CCDC66,DBNDD1,CYP26B1,DBNDD1,SLC6A6,AK2,ALS2,ST7,,SNX11,DBNDD1,NDUFAF7,RALA,KDM1A,VPS50,PLXND1,ALS2,VPS50,AOC1,KIF15,KLHL13,SNX11,DBNDD1,NDUFAB1
TTC22,NDUFAF7,ALS2,FKBP4,TMEM176A,AK2,,NDUFAF7,CFLAR,HECW1,PLXND1,,MAD1L1,,VPS50,CAP2,CFLAR,AK2,TFPI,PDK4,,RECQL,FKBP4,,RBM5,NDUFAF7,HTR7,DBNDD1,,CFLAR,M6PR,DBNDD1,NDUFAF7,VPS50,AK2,DBNDD1,RECQL,NPW,CFLAR,ALS2,ALS2,ATP8A2,VPS50,CASP10,CDC27,,TMEM176A,ALS2,SARM1,AGK,RBM6,ARHGAP33,CD38,CASP10,PDK4,HECW1,CD3D,ICA1,TMEM176A,ALS2,PDK4
FARP2,SARM1,CFLAR,RECQL,M6PR,FKBP4,,RBM5,TFPI,MAD1L1,AK2,,LASP1,,ARHGAP33,FN1,TFPI,RBM6,NDUFAF7,HCCS,,VPS50,VPS50,,PLXND1,FKBP4,TPPP3,CFLAR,,TFPI,DBNDD1,ALS2,PLXND1,ARHGAP33,FKBP4,ALS2,ARHGAP33,SIX6,SARM1,CFLAR,CASP10,TRPM1,NDUFAB1,CFLAR,UPF1,,M6PR,CFLAR,PLXND1,ALDH3B1,RECQL,ST7,CAMKK1,CFLAR,SLC25A13,MAD1L1,MZB1,DBNDD1,M6PR,CASP10,CDC27
COX10,FKBP4,NDUFAF7,ARHGAP33,ALS2,KDM1A,,SARM1,AK2,LASP1,KDM1A,,SNX11,,SLC22A16,GNLY,NDUFAF7,RECQL,AK2,UPF1,,ST7,ARHGAP33,,AK2,KDM1A,HCRT,TFPI,,RBM5,ALS2,CASP10,AK2,PDK4,RECQL,CFLAR,NDUFAB1,ZBTB8B,PLXND1,TFPI,TFPI,CRB1,CDC27,TFPI,SKAP2,,DBNDD1,TFPI,VPS50,TTC22,VPS50,CDC27,PDK4,KDM1A,CDC27,TMEM176A,CCR8,CFLAR,CYP26B1,CFLAR,HCCS
PNPLA4,CAMKK1,AK2,SLC22A16,CFLAR,RECQL,,PLXND1,FKBP4,SNX11,RECQL,,TMEM176A,,ST7,WIPF1,AK2,VPS50,KDM1A,SLC25A5,,CDC27,SLC22A16,,RBM6,RECQL,CARTPT,NDUFAF7,,SARM1,CASP10,CFLAR,FKBP4,UPF1,VPS50,TFPI,SLC22A16,,RECQL,NDUFAF7,NDUFAF7,MSI1,UPF1,PLXND1,LIG3,,CFLAR,NDUFAF7,SLC22A16,FARP2,ARHGAP33,MEOX1,CDC27,VPS50,HCCS,KLHL13,SEPTIN1,TFPI,ICA1,TFPI,UPF1
CCDC124,RECQL,CD38,SLC25A13,TFPI,SLC25A13,,FKBP4,KDM1A,TMEM176A,VPS50,,M6PR,,UPF1,NCF2,KDM1A,ARHGAP33,RECQL,MEOX1,,UPF1,SLC25A13,,RECQL,VPS50,CRABP1,SARM1,,PLXND1,CFLAR,TFPI,KDM1A,SLC25A5,HSPB6,NDUFAF7,UPF1,,VPS50,ARHGAP33,AK2,SEMA4F,MEOX1,KDM1A,RPAP3,,TFPI,PLXND1,ST7,IFRD1,ST7,LIG3,DVL2,SLC22A16,UPF1,CYP26B1,IL17REL,NDUFAF7,DBNDD1,NDUFAF7,MEOX1
