adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
SQOR,GTPBP4,POLA1,BLZF1,MON1B,BUD31,,FSD1L,MGRN1,HDAC10,URGCP,,GGA1,,GLI3,,PPP1R37,ETHE1,PALD1,FAM120B,,TGFBR1,CCDC6,,CEP70,CDK5RAP3,,POLI,,CPT1A,LAPTM4B,DHRS7B,SHB,PPWD1,FBXO30,MLYCD,SOS1,,EARS2,CREBL2,BUD31,,RAB23,UBTF,ACADM,,MAGED2,PPP3CB,PRUNE2,MSTO1,ATP6V1A,KIF21B,RAD50,TRIM14,ARHGAP21,HIRA,,TBC1D12,NFATC4,NMRK1,CDK18
MAPKBP1,SH3PXD2A,MID1,FAAH,AXIN1,PTCD1,,CNTNAP3,TRADD,KHNYN,RHEB,,HIRA,,PSMA2,,PPP1R13L,PMPCB,CDH23,BICRAL,,ECM2,CUL2,,TFDP2,CBX1,,MIB1,,CCND1,UBE2W,IFT20,ZFAND5,TRIM23,AKAP7,MPG,ORC4,,GGA2,CDKN1B,PTCD1,,KHDRBS2,TUBD1,PADI2,,RBM3,CCSER2,MEGF9,TTF1,PODXL2,ADPRS,ST8SIA4,TGFBR1,SUFU,HPS4,,GIT1,PCIF1,MEGF9,APH1A
NDUFAF1,GLRX3,NKAP,PRRC2C,NPRL3,SNX8,,SPIN1,MAPK3,SDR39U1,PRKAG2,,HPS4,,MRPL32,,SF3A2,PON2,PPP3CB,PPP2R5D,,PTGR1,RPL28,,XRN1,PIGL,,RBBP8,,CCDC86,NIPAL2,CDR2L,PDLIM1,SEC24A,RAB32,NECAB2,ATF2,,CPPED1,SCNN1A,ZKSCAN1,,FBXL4,KPNB1,SDHB,,SRPX2,ACTA2,TRIM14,INSIG2,KLHL18,EXOC8,GNPDA1,ECM2,ANKRD26,SRRD,,PSMD3,GSS,TRIM14,CDC20
HADHB,SORCS1,NXT2,FASLG,MLYCD,WASL,,MEGF9,ELMO3,RBM23,POLD2,,SRRD,,BLVRA,,OAZ1,HBP1,CCSER2,PTK7,,SUSD1,DNAJC12,,USP4,GALK1,,RIOK3,,PRPF19,IKBKB,PHF12,PHYH,TTC33,CCN2,CRISPLD2,MSH6,,USP31,CDK2AP1,SNX8,,CCNC,PNPO,CTBS,,ZDHHC15,LZTS2,TGFBR1,PSD4,PLSCR4,RRAGC,TRIM23,PTGR1,LHPP,PATZ1,,ASPA,MMP9,CORO2A,BLZF1
THUMPD2,TASOR2,ALG13,RCAN3,MPG,AIMP2,,SEC61B,NFAT5,PRMT5,YKT6,,TRIOBP,,TMEM248,,TRMT1,DUS4L,BMPR1A,SRF,,AK1,TBC1D12,,NPRL2,PFN1,,CSTF2,,APOC3,STK3,OCIAD1,RAB11FIP2,MACROH2A1,FOXO3,ZNF500,BCL9,,HMOX2,MGP,AIMP2,,ASCC3,RPS6KB1,ZNHIT6,,GLA,GBF1,SEC61B,GTF2F1,HEMK1,SIPA1L2,TTC33,CDC37L1,GTPBP4,GCAT,,TUBD1,GINS1,ECM2,DR1
CYP1B1,TFAM,MOSPD1,SYF2,WFDC1,PCOLCE,,ECM2,LONP2,AP4S1,EIF4H,,GCAT,,RHEB,,STX10,SP4,TWNK,DNPH1,,CDC37L1,KRT23,,RPL24,RNF167,,TBL1X,,RNF141,RAB2A,DCUN1D4,EIF3A,SMAD5,RPN2,NME4,DNAJC16,,DNAJA3,EIF2B1,IMPDH1,,ACOT13,PIGL,GBP3,,BEX4,ARHGAP21,ECM2,ALKBH7,CISH,KCNQ4,MACROH2A1,TBC1D13,PITRM1,ANKRD54,,KPNB1,NINL,LHX6,PRRC2C
EMILIN1,CUL2,XIAP,MTFR1L,CRISPLD2,RBM28,,LHX6,N4BP1,VCPKMT,LIMK1,,ANKRD54,,BCL7B,,TBC1D17,CBLL1,LZTS2,GMDS,,RIC1,GIT1,,CYB561D2,SLC25A11,,PGRMC1,,EIF4G2,EIF3E,LAMTOR3,DDX50,CSNK1A1,CCNI,NOMO3,CACYBP,,QPRT,RERGL,AP1S1,,SMAP1,RNF167,RAB29,,FNDC3A,SUFU,SUSD1,MED1,WDR48,AKT3,TCERG1,FUBP3,GLRX3,SNU13,,CDK5RAP3,CD40,PTGR1,ABCD3
LRPPRC,RPL28,STAG2,RPS6KA1,ZNF500,IMPDH1,,PTGR1,DHODH,SOS2,SLC1A1,,SNU13,,YKT6,,YJU2B,DLX5,SFXN3,VEGFA,,FUBP3,RPL19,,C3orf14,RASD1,,POLA1,,GALNT18,EMC2,ELF2,MAPK8,STC2,MFSD1,CIAO3,CEP104,,XYLT1,ADGRD1,MOGAT3,,RPS12,SLC25A11,ECE1,,KLF5,ANKRD26,CDC37L1,OPA3,RRP9,ETV3,ERGIC1,MPDZ,SORCS1,MICALL1,,PIGL,UQCC1,PLGRKT,TNFSF4
ENTPD1,GIT1,PLP2,STX12,NOMO3,AGFG2,,CDC37L1,CCL17,PSMC6,NMRK1,,MICALL1,,SLC1A1,,PTOV1,MTPN,NPM3,TTK,,RGP1,CASC3,,FXR1,RAI1,,MID1,,BIRC2,CCN4,GAB1,SEC23IP,ZNF346,RAB3GAP2,CLCN7,LRRC42,,MAZ,TBC1D30,PLOD3,,C6orf62,RASD1,EBNA1BP2,,STK24,ACBD5,TBC1D13,SNRPD2,ABHD14B,ZNHIT6,STC2,EDF1,TASOR2,POLR2F,,PFN1,ZMYND8,FUBP3,PRDX6
EXOC6,RPL19,RENBP,OSBPL9,MTHFSD,AP1S1,,KANK1,CTCF,DDHD1,MEGF9,,POLR2F,,FKTN,,SGTA,GSDME,GBF1,NUDT12,,MPDZ,KPNB1,,BBX,C1QBP,,NKAP,,UBE4A,NDRG1,RPL34,ATE1,SMC4,HS1BP3,SLC7A5,WRAP73,,STX4,RAB5B,GLCCI1,,EYA4,C1QBP,BLZF1,,DNAJC3,GTPBP4,CA9,RTN2,EIF4G1,GBP3,DBN1,PIP5K1B,XPNPEP1,CCDC134,,RNF167,MYBL2,RGP1,DARS2
PLCE1,SEPTIN4,ELF4,POLR1G,CLCN7,MOGAT3,,ELAVL2,PARD6A,CNIH1,TRIM14,,SOX10,,SPIN1,,SNAPC2,ZC3HAV1,ARHGAP21,CEP72,,EDF1,PNPO,,PLXNA1,CPD,,NXT2,,DDX6,ZC2HC1A,WFS1,NSMCE4A,CRBN,CYP20A1,METRN,PHF13,,BCKDK,MDM1,NRF1,,SOBP,CPD,SLC19A2,,PARP4,MTPAP,MPDZ,VASP,NEK4,CDK18,SELENOK,GLIS3,SMC3,PICK1,,SLC25A11,NDRG3,MPDZ,IRF6
DBR1,TRIM37,FMR1,STAG1,HAGHL,C1GALT1,,NCS1,ZNF821,ATP6V1D,CORO2A,,CCDC134,,NMRK1,,C19orf53,OGDH,SUFU,SEMA5A,,GLIS3,RPS6KB1,,PODXL2,GOSR1,,ALG13,,HIPK3,ARMC1,CLCN3,PLEKHA1,ARL6,TJP2,NUBP1,ELAPOR1,,NOMO1,GAPDH,EZH2,,TRIM38,GOSR1,FAAH,,SUPT20H,SH3PXD2A,RIGI,SYMPK,EEF1B2,ECE1,CRBN,RAPGEF1,SHOC2,CENPM,,RAI1,RAB5IF,EDF1,SLC35A3
DNAJC13,KPNB1,EMD,STK11,ANTKMT,PLOD3,,MPDZ,MMP15,PLEK2,TGFBR1,,PICK1,,TMEM245,,TIMM44,H2AZ2,ANKRD26,BRD8,,BAG1,PIGL,,SCAP,CCDC47,,PRPS2,,PDHX,SNX16,GALNT7,PALD1,NPHP3,RAD23B,GSPT1,SRSF4,,TMC5,BLTP3B,TSPAN13,,PEX7,B9D1,TMED5,,MRPS31,PITRM1,EDF1,GZF1,ADAM23,HMGCL,ARL6,NPDC1,TFAM,TCF20,,NUP88,NFATC2,GLIS3,RCOR3
CARF,GOSR2,TAFAZZIN,KMT2A,SLC7A5,GLCCI1,,EDF1,NME3,PIGH,ECM2,,SEPTIN3,,MEGF9,,VRK3,MET,ACBD5,KIF20A,,RAPGEF1,PFN1,,CISH,DRG2,,MOSPD1,,COMMD9,GSDMD,TBC1D19,CDH23,OGG1,SET,EARS2,MECR,,CCP110,COPS7A,GLI3,,FIG4,DDX5,PRRC2C,,SLC25A15,MAP3K8,GLIS3,NAPB,DGUOK,ID3,NPHP3,PTGDS,CCDC6,RSPH14,,C1QBP,STK4,RAPGEF1,STMN1
SSB,PNPO,PGK1,KPTN,METRN,EZH2,,SH3GL2,NDRG4,VTI1B,SUSD1,,KDELR3,,TRIM14,,ZNF419,DNAJB6,LHPP,MRPS30,,PTGDS,RNF167,,COMMD2,FTSJ3,,AMMECR1,,ACCS,EEF1D,NSD2,SPOCK2,KPNA1,PTPA,GGA2,HDAC1,,RNF40,TPI1,PSMA2,,ARFGEF3,C17orf75,ABCD3,,KPNA3,GLRX3,BAG1,DTD1,LMAN2L,APH1A,CD86,ABCA2,CUL2,GTPBP1,,GOSR1,ADNP,PTGDS,RPS6KA1
NAB1,RPS6KB1,MAGT1,CAMSAP2,FBXO31,TSPAN13,,ABCA2,PSMD7,TIMM9,PLGRKT,,TCF20,,TGFBR1,,SYDE1,HOXA6,LARP4B,MRPS27,,ABCA2,SLC25A11,,GORASP1,RAB5C,,WDR13,,PTPMT1,SQLE,SH3D19,PPP3CB,UBE3A,GLE1,HMOX2,RNF19B,,LACTB,GNPTAB,MRPL32,,PHF1,LGALS3BP,DPH5,,FLT1,TASOR2,RAPGEF1,STK35,ACTR3,BLZF1,NIT2,SHB,CCNY,POLDIP3,,CCDC47,PFDN4,ABCA2,NENF
IDH1,CDK5RAP3,CD99L2,B4GALT6,STUB1,AHR,,SHB,SLC38A7,GSTZ1,RIC1,,RTCB,,SEC61B,,URI1,BRAT1,GTPBP4,PFDN1,,SHB,C1QBP,,RRP9,MLX,,XIAP,,HPS5,INTS10,STIM2,CCSER2,ARMC8,TRIM32,SALL1,ASH1L,,CORO2B,SPSB2,URGCP,,CUTA,PEX12,TNFSF4,,RGCC,SMC3,SETX,SNRPB,SF3B6,CNN3,OGG1,EXOSC3,RPL28,SUN2,,AKAP10,TPD52L2,SHB,NSL1
WDR12,CBX1,EEA1,IRAG2,GSPT1,GIMAP2,,EXOSC3,VAC14,KIAA0586,KANK1,,JOSD1,,ECM2,,RPS16,VIPR2,GLRX3,HMGCR,,PDLIM1,MED31,,ABCC5,ABI3,,STAG2,,PSMD9,GSR,NKX3-2,BMPR1A,CEP70,NDUFA8,XYLT1,RHOU,,CSK,C12orf57,TMEM248,,BYSL,RAB5C,PRDX6,,VWA8,TFAM,PTGDS,FLRT3,DNAJC27,ABCD3,TFDP2,PDLIM1,DNAJC12,DNAL4,,SYNGR2,CTSZ,ZFAND5,ARID1A
SECISBP2L,PIGL,RP2,USP35,ZNF174,TMEM176B,,DVL1,TANGO6,SAMD15,FUBP3,,FBXO7,,CDC37L1,,TIMM50,TSPAN12,SORCS1,PCDHB7,,CCNJ,AKAP10,,ABHD14B,EZH1,,ABCD1,,PRDM4,UBXN8,UFSP2,LZTS2,XRN1,HSDL2,RPGRIP1L,GON4L,,MTFMT,SUDS3,RHEB,,FAM120B,MRPL27,UTP25,,DGKH,CCDC6,ABCA2,TBC1D20,STAM2,DPH5,KAT2B,HPS1,PBLD,LMF2,,DHX58,PRPF6,PDLIM1,POLR1G
FAM13A,GALK1,CDK16,PHF3,CLUAP1,GLI3,,PDLIM1,COG4,AHSA1,RGP1,,GTPBP1,,CA9,,GPI,SSBP1,TASOR2,CLK4,,PHYH,SYNGR2,,ARHGEF26,PPP1R9B,,PLS3,,CLEC2B,PPP2CB,NCAPG,SFXN3,TFG,MAPKAP1,MAZ,MEF2D,,IGDCC4,GOLT1B,AEBP1,,TBP,VAT1,DHDDS,,INTS6,CUL2,SHB,MAX,GPD2,PRDX6,PRKAR2A,PHYH,GIT1,RHBDD3,,RAB5C,TUBB1,HPS1,MESD
HERC3,INTS2,PIN4,TNFAIP3,ELOB,MRPL32,,CCNJ,SMPD3,DAAM1,MPDZ,,POLDIP3,,FUBP3,,AKT2,CHN2,SMC3,RNF130,,RAB11FIP2,B9D1,,VIPR1,COL1A1,,ELF4,,COQ5,KLHDC4,HTATIP2,NPM3,NPRL2,NR4A3,STX4,FBXO6,,RAB11A,LDHB,BCL7B,,BICRAL,HDAC5,NENF,,CLN5,CCNY,EXOSC3,ARMCX5,NRBP1,SYF2,GNAI2,DNMBP,TRIM37,PACSIN2,,NAGLU,PRELID3B,PHYH,STK11
COPS4,PFN1,RBM3,RAB32,GGA2,BLVRA,,HPS1,PLA2G15,LGMN,RIGI,,CYB5R3,,MPDZ,,NUMBL,ABHD11,CUL2,THG1L,,ERLIN1,UTP6,,SSR3,MRPL27,,ASB9,,CORO1C,MCM4,CTSC,ARHGAP21,BBX,KDSR,BCKDK,SWT1,,TTC23,PRKAB1,YKT6,,SRF,TMEM104,ARID1A,,MGRN1,RPL28,PDLIM1,NECAB3,SNX17,RPA2,NPRL2,EIF3A,KPNB1,TTLL1,,PPP1R9B,MTG2,RAB11FIP2,KMT2A
PRKG2,RNF167,SRPX2,TCF21,USP31,URGCP,,EIF3A,ESRP2,ALKBH1,EDF1,,LMF2,,EDF1,,YJU2,FKBP14,CCNY,CLINT1,,EIF3A,LGALS3BP,,NKTR,HDAC5,,KCND1,,SLC11A2,BNIP3L,ELP4,ANKRD26,NCBP2,ZBTB45,NOMO1,WLS,,CD276,ST8SIA1,FKTN,,DNPH1,SUPT6H,POLR1G,,CORO1A,DNAJC12,EIF3A,ID1,TTC31,PPP1R8,RPL24,MAPK8,GOSR2,HMGXB4,,COL1A1,PSMA7,EIF3A,KPTN
FGF2,RASD1,SYTL4,PMFBP1,DNAJA3,BCL7B,,MAPK8,WDR59,SNW1,GLIS3,,RHBDD3,,PIP5K1B,,TBCB,GARS1,RPL28,TTC1,,TRDMT1,RAB5C,,FOXP1,SMURF2,,FMR1,,CSRNP2,NUCB1,ZPR1,LARP4B,ATP6V1A,FCF1,CCP110,RO60,,HOMER2,C2CD5,SPIN1,,TMEM30A,PHF12,MESD,,MAPK3,TBC1D12,MAPK8,RALY,SPTBN1,MTARC2,CBLB,PLEKHA1,PNPO,TOM1,,MRPL27,TCFL5,DDX50,CAMSAP2
PDE5A,NUP88,ZDHHC15,FBXL5,SALL1,YKT6,,SEC23IP,HCFC1R1,DHRS7,BAG1,,PACSIN2,,GLIS3,,ZFR2,MINDY4,DNAJC12,CCNG1,,DDX50,MLX,,INO80D,EFTUD2,,SLC35A2,,CAMKK2,ECH1,B3GAT1,GTPBP4,PODXL2,NEK9,RNF40,BCAS2,,EHD4,PHC1,NMRK1,,GMDS,TMEM33,STAG1,,ELMO3,GIT1,SEC23IP,ROMO1,AUP1,OSBPL9,BBX,PALD1,RPS6KB1,CHKB,,SMURF2,GID8,MAPK8,ATF6
BMP2K,C1QBP,BEX4,SLC16A7,TOX3,CLIP2,,NSMCE4A,NPRL3,GALNT16,ABCA2,,AP1B1,,PTGDS,,TJP3,CASP2,TBC1D12,POLR3G,,MAPK8,COL1A1,,ADAM23,PRKAR1A,,EMD,,RSRC2,CLPTM1,HSPA8,MTPAP,COMMD2,LTBP2,AAGAB,CRYZ,,TMEM87A,COX6A1,TRIM14,,PRPF4B,DCUN1D4,STK11,,NFAT5,RPL19,ATE1,TUBGCP3,RTN4,MESD,GNB4,UNC5B,CBX1,MCAT,,FAM20A,PTK6,SEC23IP,NRP2
FRAS1,CPD,RUBCNL,RPN2,RBL2,SLC1A1,,PALD1,COTL1,CEP128,SHB,,TOM1,,ABCA2,,CACTIN,CHCHD2,GIT1,SUB1,,SEC23IP,MRPL27,,MOB1A,EFNB3,,TAFAZZIN,,TNS2,RELB,DNAJC4,PITRM1,GORASP1,DLST,LACTB,ZBTB17,,CEP152,ENSG00000111780,CORO2A,,SLC29A1,CHIC2,KMT2A,,LONP2,PSMD3,NSMCE4A,PCID2,LANCL1,STAG1,NCBP2,CDH23,PIGL,MCM5,,YWHAE,GMEB2,ATE1,KLF7
SCARB2,GOSR1,NDFIP2,RARRES1,XYLT1,FKTN,,MICU1,USP10,ERH,HPS1,,CHKB,,SHB,,CCDC9,PDAP1,CASC3,FAM172A,,ATE1,VAT1,,RTKN,FAM20A,,EEA1,,PPM1H,CLASRP,EHD1,GLRX3,ABHD14B,RBM25,CORO2B,ADPRS,,DMXL2,SRSF9,TGFBR1,,HARS2,CRACD,KPTN,,N4BP1,CASC3,PALD1,CAPNS1,EFEMP1,KMT2A,SNX4,SPOCK2,PFN1,TSPO,,RANGRF,CDC25B,NSMCE4A,C1orf54
INTS12,CCDC47,FNDC3A,UBN1,PYCARD,FSD1L,,PPP3CB,TSC2,SRSF5,PHYH,,BIK,,EXOSC3,,BBC3,BUD31,TUBD1,SLC27A6,,PLEKHA1,LRRC59,,FAHD2A,YWHAE,,CDK16,,METAP2,PPP1R37,UNC93B1,TASOR2,VIPR1,EIF2B2,CSK,MAP7D1,,EIF3J,BTN3A3,SEC61B,,NUDT12,LAMTOR3,B4GALT6,,DHODH,SEPTIN4,SPOCK2,PDCD2L,FN1,KPTN,SLC41A3,PPP3CB,SLC25A11,TTLL12,,DPH1,RNF24,PLEKHA1,SPCS2
SLC39A8,SYNGR2,CDADC1,HS1BP3,MAZ,TRIM14,,CCSER2,ZNF500,DICER1,RASSF4,,MCAT,,ZFAND5,,PLIN3,PTCD1,KPNB1,TARS1,,PALD1,ALOX12,,SLC35F5,MAP2K6,,FGD1,,LTA4H,PIH1D1,DCPS,SMC3,SSR3,DNMT3A,TRIP4,WARS2,,SPG11,TDP2,ECM2,,CEP72,NFKB1,C1orf54,,CCL17,TUBD1,PPP3CB,RBM42,PECR,RPS25,ATP6V1A,CCSER2,RASD1,CBX7,,TMEM104,ARFRP1,PALD1,HMGN3
SHISAL1,UTP6,CAB39L,WDR35,STX4,CORO2A,,TWNK,NME4,ZFYVE21,ERLIN1,,ARSA,,PDLIM1,,MYH14,ZKSCAN1,PNPO,LNPEP,,MICU1,HDAC5,,ACTR3,DHRS7B,,SRPX2,,SLC6A12,ARHGEF18,PPP6R3,TFAM,ZBTB47,FKBP1B,MTFMT,OSCP1,,RHOV,RWDD1,PTGR1,,DAP,UBE2D3,CA14,,CTCF,GOSR2,CCSER2,BCL2L12,UNC50,CAMSAP2,WDR48,MINPP1,NUP88,PDGFB,,CDR2L,TRIB3,SPOCK2,UBE3D
SINHCAF,C17orf75,KLF5,CPSF3,CDIPT,TGFBR1,,SFXN3,NOMO3,MTHFD1,DDX50,,TSPO,,CCNJ,,NOP53,EIF3B,RPS6KB1,PDE4D,,PPP3CB,FAM20A,,STEAP3,WSB1,,ZDHHC15,,SH2B3,PPP1R13L,MS4A6A,CCDC6,MOB1A,YIPF4,CTSH,EXOC8,,VPS18,GCNT2,SUSD1,,NME5,ELF2,HMGN3,,POLR2C,RPS6KB1,BMPR1A,SBDS,USP34,NRP2,COMMD2,LZTS2,C1QBP,ACR,,RAB34,CSNK2A1,MICU1,PHF3
TAPBPL,RAB5C,STK24,C1orf198,BCKDK,SEC61B,,GBF1,CIAO3,ZC3H14,SEC23IP,,RASD2,,HPS1,,ETFB,SNX8,CBX1,RAD50,,CCSER2,YWHAE,,DNAJC27,TMEM104,,GLA,,DUSP16,PEX11G,MS4A4A,CCNY,LMAN2L,LGALSL,TTC23,RRAGC,,SGK3,NEDD9,CDC37L1,,NNT,TBC1D9,SGIP1,,PARD6A,CDK5RAP3,MINPP1,BECN1,CCT4,CREB1,ABHD14B,SFXN3,CPD,RPL3,,PHF12,CDS2,PPP3CB,FBXO30
RBP5,MLX,DNAJC3,PTPA,NOMO1,LHX6,,ARHGAP21,CLCN7,TELO2,ATE1,,TTLL12,,PHYH,,BABAM1,WASL,GALK1,ST8SIA4,,SFXN3,RANGRF,,STAM2,CDR2L,,BEX4,,CREBL2,SF3A2,PRPF19,RPL28,SF3B6,SLF2,CD276,LGALS8,,BRF2,CEP85L,MPDZ,,PFDN1,ZNF330,FBXO30,,ZNF821,PFN1,LZTS2,TRAP1,GGCX,B4GALT6,SSR3,ARHGAP21,GOSR1,ZMAT5,,TMEM33,HM13,CCSER2,MYB
TMTC3,CNTNAP1,ARHGEF7,GLE1,CCP110,RIC1,,SUFU,ANTKMT,BDKRB1,PLEKHA1,,PDGFB,,RASSF4,,TYK2,RBM28,PFN1,GNPDA1,,NPM3,MAP2K6,,GPD2,ALDOC,,RUBCNL,,CDKN1B,OAZ1,TMEM109,DNAJC12,DNAJC27,PYROXD2,RPAP1,NT5C1A,,TRIM35,MCM9,RIGI,,TMCO6,GAB1,TNFAIP3,,MMP15,RNF167,SFXN3,NSRP1,EHBP1,C1orf54,NKTR,SUFU,DRG2,SYNGR1,,OCIAD1,SNPH,TWNK,SGK1
RITA1,PPP1R9B,PARP4,RAB14,AAGAB,NCS1,,ANKRD26,SLC7A5,GSKIP,PALD1,,RPL3,,RAB11FIP2,,CDC37,IMPDH1,RNF167,SKP1,,GBF1,TMEM104,,CYTIP,SUPT6H,,NDFIP2,,OGFOD2,TRMT1,CHORDC1,TBC1D12,STAM2,AVPI1,TMEM87A,MTR,,NBN,HDDC2,EDF1,,HMGCR,RPL34,AKAP7,,USB1,SLC25A11,FBXW4,AHDC1,TXNDC9,SPCS2,FOXP1,ANKRD26,AKAP10,TAB1,,DCUN1D4,SEC23B,ARHGAP21,RNF146
SDSL,COL1A1,SUPT20H,NDUFA8,LACTB,MPDZ,,ACBD5,METRN,PSMC1,MICU1,,ZMAT5,,EIF3A,,RABAC1,AP1S1,SLC25A11,PPP2CA,,ARHGAP21,RAB34,,ACVR1,PHF12,,FNDC3A,,GTF2H3,STX10,ANAPC15,GIT1,CENPA,ARMH3,ZNF106,KCNQ4,,BPNT2,HINT3,GLIS3,,FAF2,WFS1,RAB32,,CYB5B,RAI1,NPM3,ZNF384,SF3B1,FBXO30,EIF4G1,LHPP,SYNGR2,ASCC2,,USP46,PLCB4,SUFU,CCN2
SLC46A3,MRPL27,MRPS31,HDHD3,CORO2B,RIGI,,LHPP,FBXO31,PPP4R3A,PPP3CB,,TAB1,,MAPK8,,MEGF8,C1GALT1,RASD1,C5orf15,,SUFU,PHF12,,GTF3C2,OCIAD1,,CAB39L,,RERGL,TBC1D17,ARHGEF17,RPL19,CYTIP,GNA13,ATP8B4,AKT3,,UBE2W,FANCE,RAPGEF1,,PCDHB7,TBC1D19,SGK1,,NME3,NUP88,GBF1,UXT,HSPE1,TNFAIP3,EEF1B2,GTPBP4,B9D1,APOL1,,CRACD,MYL9,ANKRD26,TCF21
SMARCC2,LRRC59,KPNA3,NR4A3,TRIP4,EDF1,,LARP4B,STUB1,PSMB5,CCSER2,,ASCC2,,SEC23IP,,KDELR1,PLOD3,RAI1,TRIM23,,ANKRD26,TMEM33,,NRBP1,DCUN1D4,,KLF5,,SPRING1,YJU2B,RNF141,KPNB1,EIF2B4,CAAP1,TJP1,ETV3,,NIPAL2,MDN1,NPDC1,,CLK4,STIM2,RNF146,,PSMD7,C1QBP,ARHGAP21,TIMM17B,CHMP3,AKAP7,DGUOK,PITRM1,UTP6,SAMM50,,MANBA,TM9SF4,LHPP,VAMP8
KANSL2,HDAC5,RGCC,ZBTB45,MTFMT,GLIS3,,GTPBP4,UBE2I,ACIN1,MINPP1,,MTMR3,,ATE1,,CYTH2,ZNHIT1,NUP88,TTC33,,LHPP,DCUN1D4,,ITGB6,USP46,,STK24,,TBC1D30,PTOV1,EIF4G2,GALK1,NRBP1,MTHFD1L,BMF,CTBS,,IKBKB,RAB23,ABCA2,,RNF130,NKX3-2,TCF21,,SETD6,CPD,SUFU,ATG14,FHL2,TCF21,KANSL3,GLRX3,C17orf75,TXN2,,ZNF330,POFUT1,LARP4B,FOXO3
MYG1,SMURF2,VWA8,FCF1,RAB11A,BAG1,,SH3PXD2A,ZP2,TRIP11,LZTS2,,MYH9,,NSMCE4A,,CARD8,GLCCI1,C1QBP,WWC1,,GTPBP4,CHIC2,,PSMD14,LAMTOR3,,ARHGEF7,,RAB5B,NOVA2,GALNT18,SLC25A11,FNDC4,PLEKHG1,DMXL2,ZNHIT6,,PLAT,CCNC,SHB,,ARSB,UFSP2,MYL12B,,SLC38A7,GOSR1,LARP4B,KTN1,MLPH,RARRES1,LMAN2L,SORCS1,PEX12,FOXRED2,,RPL34,SAMHD1,GTPBP4,RARRES1
ESYT1,SLC16A6,DGKH,ACYP1,TTC23,RAPGEF1,,PITRM1,CRYM,APEX1,NPM3,,SAMM50,,SPOCK2,,LIG1,SFRP4,CPD,MACROH2A1,,PITRM1,LAMTOR3,,TTC31,UBE2D3,,FGF9,,CPSF6,SGTA,DDX6,RASD1,SNX17,CENPL,DNAJC17,CDK18,,STK3,ASCC3,EXOSC3,,GOLPH3,FAM149A,FOXO3,,TANGO6,CCDC47,GTPBP4,RHOJ,UXS1,UCHL3,ZAP70,XPNPEP1,DHX58,EIF3D,,WFS1,KIF3B,MTPAP,PPL
ZNF740,PRKAR1A,INTS6,DNAL1,CD276,PTGDS,,MAP3K8,GSPT1,PABPN1,SUFU,,TXN2,,PPP3CB,,PLA2G4C,AHR,GOSR1,TCERG1,,GLRX3,NFKB1,,PCGF1,MAPK10,,PARP4,,KRR1,SNAPC2,CBL,NUP88,PPM1G,KCNJ5,EIF3J,CD46,,GDAP1,ALDH5A1,PDLIM1,,SUB1,UGDH,CASQ2,,COG4,FTSJ3,PITRM1,ZBTB1,HDLBP,HS1BP3,ACTR3,SMC3,RAB5C,TNRC6B,,GRPEL1,NOP56,SH3PXD2A,UBN1
SBNO1,RANGRF,CLN5,DLST,RPAP1,ABCA2,,SORCS1,CLUAP1,EFS,ANKRD26,,FOXRED2,,CCSER2,,RAB3D,TMEM176B,MED31,SMAD5,,TASOR2,UBE2D3,,GRB14,ELF2,,SUPT20H,,GAPDH,C19orf53,HIPK3,C1QBP,TTC31,UFM1,SPG11,PRPF3,,EMC2,ACOT13,GATA3,,TARS1,DDX25,RARRES1,,SMPD3,ALDH3A1,GLRX3,PLEKHG3,PPP1R7,LDAH,STEAP3,TFAM,NAGLU,KIAA0930,,SOD3,MANBAL,MAP3K8,UCHL3
DENR,DHRS7B,OLFM4,SLIRP,HOMER2,SHB,,TASOR2,USP31,ARHGAP5,ACBD5,,EIF3D,,BMPR1A,,CAPS,PSMA2,ALDH3A1,CSNK1A1,,TFAM,TBC1D9,,CLIP4,NDUFC1,,SLC25A15,,BLTP3B,TIMM44,PDHX,CPD,PCGF1,WBP4,VPS18,APH1A,,ESRP1,C6orf62,HPS1,,LNPEP,CRYAB,MFSD1,,SLC7A6OS,SYNGR2,SORCS1,RHOT1,GORASP2,RAD23B,EPB41L5,CCDC6,MLX,FAM118A,,NSD2,MAPRE1,GLRX3,PCDH17
